id,category,sub_category,level,has_table,has_fomula,question,A,B,C,D,E,gold
1,미시경제,수요공급이론,H,N,Y,"어느 소비자의 X재에 대한 수요함수가 \(Q_{D} = \frac{0.5I}{P^{2}}\)라고 한다. 이 소비자의 X재에 대한 수요의
가격탄력성(절댓값 기준)과 소득탄력성의 합은? (단, \(I\)는 소득, \(P\)는 X재 가격이다.)",1,1.5,2,2.5,3,E
2,미시경제,소비자이론,H,N,N,"두 재화(X재와 Y재)만 존재하는 경우의 무차별곡선에 대한 다음 설명 중 옳은 것을 모두 고르면?

가) 한 재화의 한계효용은 양(+)이나, 다른 재화의 한계효용이 음(-)이면, 무차별곡선은 우상향한다.
나) 두 재화의 한계효용이 양(+)인 경우, 원점에서 더 멀리 위치한 무차별곡선은 더 높은 효용수준을 나타낸다.
다) 원점에 강볼록한 무차별곡선은 두 재화의 한계효용은 모두 체감한다는 것을 의미한다.",가),"가), 나)","가), 다)","나), 다)","가), 나), 다)",B
3,미시경제학,소비자이론,H,N,Y,"효용함수(\(U\))가 \(U = \max\{ 4\sqrt{2X},\,\, X + 2Y\}\)인 소비자를
고려하자. \(X = 8\), \(Y = 2\)에서 X재의 한계효용과 Y재의 한계효용을
각각 구하면?","X재 한계효용 1/2, Y재 한계효용 0","X재 한계효용 1, Y재 한계효용 0","X재 한계효용 2, Y재 한계효용 0","X재 한계효용 1, Y재 한계효용 2","X재 한계효용 1/2, Y재 한계효용 2",B
4,미시경제학,소비자선택,H,N,Y,"효용함수가 \(U = 4X^{1/4}Y^{3/4}\)인 어느 소비자의 소득은 160이다.
X재와 Y재의 단위당 가격이 각각 2와 6이라고 한다. 균형에서 이 소비자의
소득 1단위당 한계효용은?",01월 03일,01월 02일,1,2,3,B
5,미시경제학,수요공급이론,H,N,N,"어느 완전경쟁시장에서 거래되는 재화에 정부가 단위당 10의 세금을 부과하자 소비자가격이 단위당 6만큼 상승하고, 거래량은 160단위에서 140단위로 감소하였다. 세금부과로 인한 생산자잉여 감소분은? (단, 수요함수와 공급함수는 직선이다.)",480,520,560,600,640,D
6,미시경제학,현시선호이론,H,N,Y,"어느 소비자의 기간별 선택에 대해 다음 식이 성립한다고 한다. (단, \(P_{t},\,\, Q_{t}\)는 각각 \(t\)기에 주어진 가격 벡터와 이 소비자가 선택한 상품묶음을 나타낸다.)
\(P_{0}Q_{0} \geq P_{0}Q_{1}\)
\(P_{1}Q_{1} \geq P_{1}Q_{2}\)
\(P_{0}Q_{0}\langle P_{0}Q_{2}\)
현시선호이론에 근거해 다음 설명 중 옳은 것을 모두 고르면?
가) \(Q_{0}\)이 \(Q_{1}\)보다 선호되는 것이 직접적으로 현시되었다.
나) \(Q_{0}\)이 \(Q_{2}\)보다 선호되는 것이 직접적으로 현시되었다.
다) \(Q_{1}\)이 \(Q_{2}\)보다 선호되는 것이 직접적으로 현시되었다.",가),"가), 나)","가), 다)","나), 다)","가), 나), 다)",C
7,미시경제학,소비자이론,H,N,N,"효용함수(\(U\))가 \(U = \min\{ X,\, 2Y\}\)이며, 소득이 2,500인 어느
소비자를 고려하자. 초기 X재와 Y재의 가격이 각각 10, 20이었으나, 정부가
X재에 세금을 부과하여 X재 가격이 15로 상승하였다. X재에 대한 세금부과로
인해 발생한 이 소비자의 후생 변화를 대등변화(equivalent variation)로
측정하면?",220 감소,280 감소,340 감소,400 감소,500 감소,E
8,미시경제학,기대효용이론,H,N,Y,"자산(\(W\))에 대한 폰 노이만-모겐스턴(von Neumann -Morgenstern)
효용함수가 \(U(W) = 5\sqrt{2W + 400}\)인 어느 개인을 고려하자. 이 사람의
자산은 증권만으로 구성되어 있으며, 증권 가격은 1/3의 확률로 1,600, 2/3의
확률로 250이 된다. 이 사람의 증권에 대한 확실성등가(certainty
equivalence)는?",480,600,700,850,950,B
9,미시경제학,소비자이론,H,N,N,"보통수요곡선(함수)과 보상수요곡선(함수)에 대한 다음 설명 중 옳은 것을 모두 고르면?

가) 소비자의 지출 극소화 문제에서 도출된 수요함수는 보상수요함수에 해당한다.
나) 보상수요곡선은 언제나 우하향한다.
다) 수요의 소득탄력성이 1이면 보상수요곡선과 보통수요곡선은 일치한다.",가),나),다),"가), 나)","나), 다)",D
10,미시경제학,생산자이론,H,N,Y,"어느 기업의 생산함수가 \(Q = {AL}^{0.4}K^{0.8}\)라고 하자. 다음 설명
중 옳은 것을 모두 고르면? (단, \(A\)는 양(+)의 상수, \(Q\)는 생산량,
\(L\)과 \(K\)는 각각 노동 및 자본투입량이다.)
가) 규모에 대한 수익이 체증한다.
나) 노동과 자본의 한계생산물은 체감한다.
다) 생산요소 사이의 대체탄력성은 1보다 크다.
라) 노동투입량과 자본투입량이 두 배로 증가하면 한계기술대체율은 감소한다.","가), 나)","가), 다)","나), 다)","나), 라)","다), 라)",A
11,미시경제학,비용이론,H,N,Y,"두 개의 공장(공장 1, 공장 2)을 운영하는 어느 기업의 공장별
비용함수가 아래와 같다. 8단위를 생산할 때 최소 생산비용은? (단,
\(C_{i}\)와 \(q_{i}\)는 각각 공장 \(i\)에서의 비용과 생산량을 나타낸다.)

공장 1: \(C_{1} = 2{q_{1}}^{2}\)
공장 2: \(C_{2} = {q_{2}}^{2} + 8q_{2} + 50\,\,\, if\, q_{2}\rangle 0,\,\,\,\, C_{2} = 0\,\,\,\, if\, q_{2} = 0\)",128,130,142,148,160,A
12,미시경제학,완전경쟁시장,H,N,Y,"어느 완전경쟁시장에서 활동하는 기업의 총비용함수가 \(TC = Q^{3} - 14Q^{2} + 50Q + 30\)로 표시된다고 하자. 다음 설명 중 옳은 것을 모두 고르면? (단, \(Q\)는 생산량이다.)

가) 이 비용함수는 단기 비용함수이다.
나) 평균비용곡선은 U자형이다.
다) \(Q = 7\)에서 한계비용과 평균비용이 일치한다.",가), 다),"가), 나)","나), 다)","가), 나), 다)",C
13,미시경제학,독점시장,H,N,N,"어느 독점시장에서 수요의 가격탄력성은 수요량과 관계없이 일정하며, 독점기업의 한계비용도 생산량과 관계없이 일정하다. 한계비용이 12에서 15로 상승하자 이윤극대화를 하는 독점기업은 가격을 한계비용 변화 전보다 4만큼 인상하였다. 독점기업이 한계비용 상승 후 책정한 가격은?",12,14,16,20,24,D
14,미시경제학,과점시장,H,N,Y,"시장수요의 역함수가 \(P = 40 - 0.5Q\)인 복점시장에서 기업 1이 먼저
생산량을 결정하는 슈타켈버그(Stackelberg) 모형을 가정하자. 두 기업의
비용함수가 아래와 같다. 부분게임 완전균형에서 기업 2의 생산량은? (단,
\(Q = q_{1} + q_{2}\)이며, \(P\)는 시장가격이다.)

기업 1의 비용함수: \(C_{1} = {q_{1}}^{2}\)
기업 2의 비용함수: \(C_{2} = 10q_{2}\)",10,16,20,25,30,D
15,미시경제학,복점시장,H,N,Y,"시장수요의 역함수가 \(P = 40 - Q\)인 복점시장에서 두 기업(기업 1과 기업 2)이 꾸르노(Cournot) 경쟁을 한다. 
두 기업 모두에게 고정비용이 있으며, 기업 \(i\)의 비용함수는 아래와 같다. (단, \(Q = q_{1} + q_{2}\)이며, \(P\)는 시장가격이다.)

\(C_{i} = 10q_{i} + 60\,\,\, if\, q_{i}\rangle 0\),
\(C_{i} = 0\,\, if\, q_{i} = 0\)

다음 중 내쉬균형을 모두 고르면?
가) \(q_{1} = 10,\,\, q_{2} = 10\)
나) \(q_{1} = 15,\,\, q_{2} = 0\)
다) \(q_{1} = 0,\,\, q_{2} = 15\)",가),나),다),"나), 다)","가), 나), 다)",E
16,미시경제학,과점시장,H,N,N,"독점적 경쟁시장에 대한 다음 설명 중 옳은 것을 모두 고르면?

가) 장기균형 생산량은 평균총비용이 최소화되는 생산량보다 적다.
나) 기업들이 생산하는 재화 사이의 교차탄력성은 0보다 크다.
다) 장기균형에서 개별기업은 양(+)의 초과이윤을 얻는다.
라) 시장수요곡선은 우하향하나 개별기업이 직면하는 수요곡선은 수평이다.","가), 나)","가), 라)","나), 다)","나), 라)","다), 라)",A
17,미시경제학,생산요소시장,H,N,Y,"생산물시장에서 독점인 어떤 기업이 노동시장에서는 수요독점이다.
생산물시장에서 수요의 역함수는 \(P = 250 - 2Q\)이며, 노동시장에서 공급의
역함수는 \(w = 10 + 0.5L\)이다. 이 기업의 생산함수가 \(Q = 3L\)일 때,
균형에서 임금은? (단, \(P\)는 생산물 가격, \(P\)는 생산량, \(w\)는 임금,
\(L\)은 고용량이다.)",20,24,26,30,34,A
18,미시경제학,시장실패,H,N,Y,"두 사람(A와 B)으로 구성된 경제를 고려하자. 공공재에 대한 A와 B의
수요함수가 각각 \(Q_{A} = 20 - \frac{1}{2}P\), \(Q_{B} = 90 - 2P\)이다.
공공재 공급의 총비용은 \(34Q\)이다. 최적의 공공재 공급량은?",16,18,22,25,30,C
19,미시경제,일반균형이론,H,N,Y,"두 소비자(A와 B)와 두 재화(X재와 Y재)만 존재하는 순수교환경제를
고려하자. 두 소비자의 효용함수가 아래와 같다.

·소비자 A: 효용함수 \(U_{A} = \min\{ x_{A},\, 2y_{A}\}\),
·소비자 B: 효용함수 \(U_{B} = 2{x_{B}}^{2/3}\,\,\,{y_{B}}^{1/3}\),
(단, \(U_{i},\, x_{i},\, y_{i}\)는 각각 소비자 \(i\)의 효용, X재 소비량, Y재 소비량을 나타낸다.)

이 경제에 \(X\)재 40단위, \(Y\)재 24단위가 존재한다고 할 때, 파레토
효율적인 자원배분에서 A의 소비량에 해당하는 것을 모두 고르면? (단, A에게
배분되고 남는 것은 모두 B에게 배분된다.)
가) \(x_{A} = 0,\,\, y_{A} = 0\)
나) \(x_{A} = 20,\,\, y_{A} = 10\)
다) \(x_{A} = 40,\,\, y_{A} = 22\)",가),나),"가), 나)","나), 다)","가), 나), 다)",E
20,계량경제,단순 회귀 모형,H,N,Y,"다음 보기 안의 제시문을 읽고 물음에 답하시오.
단순 회귀 모형 \(Y_{i} = \beta_{0} + \beta_{1}X_{i} + u_{i}\)을
최소제곱법으로 추정하여 다음식을 얻었다.

\(\widehat{Y_{i}}\, = \, 43.6\, + \, 2.3\, X_{i}\)

여기서 \(Y_{i}\)는 \(i\)번째 근로자의 연간 소득 (단위는 백만원) 그리고
\(X_{i}\)는 남성 더미변수(남성이면 1, 여성이면 0)이다.

위 제시문의 결과를 이용하여 여성 근로자의 연간 평균 소득으로 옳은
것을 고르시오.",1.1(백만원),21.3(백만원),43.6(백만원),57.8(백만원),65.1(백만원),C
21,계량경제,단순 회귀 모형,H,N,Y,"다음 보기 안의 제시문을 읽고 물음에 답하시오.
단순 회귀 모형 \(Y_{i} = \beta_{0} + \beta_{1}X_{i} + u_{i}\)을
최소제곱법으로 추정하여 다음식을 얻었다.

\(\widehat{Y_{i}}\, = \, 43.6\, + \, 2.3\, X_{i}\)

여기서 \(Y_{i}\)는 \(i\)번째 근로자의 연간 소득 (단위는 백만원) 그리고
\(X_{i}\)는 남성 더미변수(남성이면 1, 여성이면 0)이다.

위 제시문의 결과를 이용하여 남성 근로자의 연간 평균소득으로 옳은
것을 고르시오.",1.3(백만원),31.3(백만원),42.7(백만원),45.9(백만원),56.6(백만원),D
22,계량경제,확률변수,H,N,Y,"확률변수 \(X\)의 평균은 4, 분산은 9이다. 확률변수 \(W\)를 다음과
같이 정의하자: \(W\, = \, X^{2} + 2X - 3\). \(W\)의 평균은?",16,22,29,30,33,D
23,계량경제,확률변수,H,N,Y,"확률변수 \(X\)와 \(Y\)에 대해서 다음과 같은 사실이 알려져 있다.
\(E\lbrack Y\, \mid \, X\rbrack\, = \, 2X - 3\),
\(E\lbrack X\rbrack\, = \, 1.4\), \(E\lbrack X^{2}\rbrack\, = \, 3.6\).
\(E\lbrack XY\rbrack\)의 값을 구하시오.",-0.6,3,4.2,7.2,11.4,B
24,계량경제,통계적 검정,H,N,Y,"철강 생산량은 다음 회귀모형 \(Y_{i\,}\, = \,\beta_{0} + \beta_{1}X_{i\,\,} + \, u_{i\,}\)과 같이 결정된다고 알려져 있다. 여기서 \(Y_{i}\)는 철강 생산량, \(X_{i}\)는 철강의 주요 원재료인 철광석 투입량이다. 위 회귀식을 추정하여 다음 결과를 얻었다:

\(\widehat{Y_{i}} = 3.61 + 0.96X_{i}\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\, R^{2} = 0.28\ \,\,\,\,\,\,\,\,\,\,\,\,(2.1)\,\,\,\,(0.35)\) \\

괄호 안의 숫자는 회귀계수 추정치의 표준오차, \(R^{2}\)는 결정계수이다.
철광석 투입량이 철강 생산량에 유의미한 영향을 주는지 통계적 검정을 할 때, 다음 중 t-통계량의 값으로 올바른 것은? (소수점 셋째 자리에서 반올림해서 답을 구하시오)",0.28,0.96,1.72,2.1,2.74,E
25,계량경제,회귀식의 활용,H,N,Y,"고등학생 5,000명을 대상으로 한 설문조사 자료를 사용해서, 시험 점수와 학습 시간에 대한 선형 회귀식을 최소제곱법으로 추정하여 다음 결과를 얻었다:

\(\widehat{Y_{i}}\, = \, 11.3\, + \, 2.3\, X_{i}\)

여기서 \(Y_{i}\)는 \(i\)번째 학생의 시험 점수, \(X_{i}\)는 일주일 동안의
학습량 (단위는 시간)이다. 일주일에 공부하는 시간을 5시간 늘린다면 점수는
평균적으로 얼마나 변화하는가?",2.3,11.5,13.6,22.8,주어진 조건으로는 답을 구할 수 없다.,B
26,계량경제,신뢰구간,H,N,Y,"고등학생 5,000명을 대상으로 한 설문조사 자료를 사용해서, 시험 점수와
학습 시간에 대한 선형 회귀식을 최소제곱법으로 추정하여 다음 결과를
얻었다.

(\widehat{Y_{i}}\, = \, 11.3\, + \, 2.3\, X_{i}\ \,\,\,\,\,\,\,\,\,\,\,\,\,\,\,(4.23)\,\,\,\,\,(1.71)\)

여기서 \(Y_{i}\)는 \(i\)번째 학생의 시험 점수, \(X_{i}\)는 일주일 동안의
학습 시간이고, 괄호 안의 숫자는 회귀계수 추정치의 표준오차이다. 만일
일주일에 공부하는 시간을 5시간 늘린다면 점수가 평균적으로 얼마나
변화할지에 관심이 있다. 이 효과의 95\% 신뢰구간을 구하시오.","(-1.05, 5.65)","(3.01, 19.60)","(-5.26, 28.26)","(15.05, 97.95)","(-10.47, 33.47)",C
27,계량경제,회귀모형 이론,H,N,Y,"최소제곱법의 잔차항을 다음과 같이 정의한다:
\(\widehat{u_{i}}\, = \, Y_{i}\, - \,\widehat{\beta_{0}}\, - \,\widehat{\beta_{0}}X_{i}\).
다음 중 잔차항의 총합 \(\sum_{i = 1}^{n}\widehat{u_{i}}\)에 대한
설명으로 옳은 것은?",잔차항의 총합은 항상 양수이다.,잔차항의 총합은 항상 음수이다.,잔차항의 총합은 항상 0이다.,"잔차항의 총합의 부호는 \(Y_{i}\)의 부호가 주로 양수인지 음수인지에
달려있다.","잔차항의 총합의 부호는 \(X_{i}\)의 부호가 주로 양수인지 음수인지에
달려있다.",C
28,계량경제,통계적 검정,H,N,Y,"송이버섯 수확량을 \(Y_{i}\)라 하고 버섯 채취에 투입된 노동시간을
\(X_{i}\)라 할 때, 다음과 같은 회귀분석 결과를 얻었다:
\(\widehat{Y_{i}} = 0.82 + 3.5X_{i}\).

만일 회귀식의 기울기에 대한 t-통계량의 값이 2.5이라 알려져 있다면 기울기
계수의 추정치의 표준오차는?",0.71,0.82,1.4,3.5,8.75,C
29,계량경제,다중회귀분석,H,N,Y,"다중회귀분석에서 \(R^{2}\)은 결정계수, \(n\)은 표본의 개수, \(k\)는
회귀분석에 사용된 설명변수의 개수라 하자. (회귀식은 상수항을 포함하며,
상수항은 설명변수의 개수에 포함되지 않는다) 다음 중 수정된 결정계수
(adjusted \(R^{2}\)) \(\overline{R^{2}}\)를 구하기 위해 올바른 공식은
무엇인가?","\(\overline{R^{2}}\, = \, 1 - \frac{n - 1}{n - k - 1}R^{2}\)","\(\overline{R^{2}}\, = \,\frac{n - k - 1}{n - 1}R^{2}\)","\(\overline{R^{2}}\, = \,\frac{n - k - 1}{n - 1}(1 - R^{2})\)","\(\overline{R^{2}}\, = \, 1 - \frac{n - k - 1}{n - 1}(1 - R^{2})\)","\(\overline{R^{2}}\, = \, 1 - \frac{n - 1}{n - k - 1}(1 - R^{2})\)",E
30,계량경제,다중회귀분석,H,N,Y,"다중회귀분석에서 수정된 결정계수 (adjusted \(R^{2}\))
\(\overline{R^{2}}\)에 대한 설명으로 옳은 것은?",\(\overline{R^{2}}\)은 결정계수 \(R^{2}\)의 값보다 언제나 작다.,\(\overline{R^{2}}\)은 0보다 작을 수 없다.,\(\overline{R^{2}}\)은 1보다 클 수 있다.,\(\overline{R^{2}}\)은 표본 상관계수의 제곱과 같다.,"새로운 설명변수를 회귀식에 더 넣었을 때, \(\overline{R^{2}}\) 값은
항상 증가한다.",A
31,계량경제,통계적 검정법,H,N,Y,"다음 식 (A)은 \(X_{1},\,\, X_{2},\,\, X_{3}\)를 모두 설명변수로
사용한 회귀분석의 결과이고, 식 (B)는 \(X_{1}\)만을 설명변수로 사용한
결과이다.

\((A)\,:\,\,\widehat{Y}\, = \, 3.2 - 1.7X_{1} + 0.9X_{2} + 0.05X_{3},\,\,\,\,\, R^{2\,}\, = \, 0.60,\,\, n = 24.\ (B)\,\,:\,\,\widehat{Y}\, = \, 4.1 - 1.4X_{1}\,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\, R^{2}\, = \, 0.50,\,\,\,\,\,\,\,\, n = 24.\)

\(\beta_{2}\)을 \(X_{2}\)의 회귀계수, \(\beta_{3}\)을 \(X_{3}\)의
회귀계수라 하자. 다음 중 귀무가설 \(H_{0}:\beta_{2} = \beta_{3} = 0\) 을
검정하기 위한 \(F\)-통계량의 값으로 옳은 것은? (소수점 셋째 자리에서
반올림해서 답을 구하시오)",\(F = 1.75\),\(F = 2.50\),\(F = 2.63\),\(F = 3.33\),\(F = 5.00\),B
32,계량경제,비선형 회귀모형,H,N,Y,"로그-선형 모형 \(\ln(Y_{i})\, = \beta_{0} + \beta_{1}X_{i} + u_{i}\)을 사용하여 학생의
점수\(Y_{i}\)와 학습 시간 \(X_{i}\)의 관계를 추정하고자 한다. 이때 기울기 \(\beta_{1}\)의 해석으로 옳은 것을 고르시오. 단, \(\ln()\)은
자연로그를 의미한다.",점수가 1점 오르면 학습시간은 \(\beta_{1}\)\% 증가한다.,학습 시간이 1시간 증가하면 점수는 \(\beta_{1}\)점 오른다.,학습 시간이 1시간 증가하면 점수는 \(100\beta_{1}\)점 오른다.,학습 시간이 1시간 증가하면 점수는 \(\beta_{1}\)\% 오른다.,학습 시간이 1시간 증가하면 점수는 \(100\beta_{1}\)\% 오른다.,E
33,계량경제,비선형 회귀모형,H,N,Y,"기업의 매출액(\(Y_{i}\))과 연구개발비(\(X_{i}\))의 관계를 추정하고자
로그-로그 모형을 사용하여 다음과 같은 결과를 얻었다. 매출액과
연구개발비의 단위는 모두 백만원이다.

\widehat{\ln(Y_{i})}\, = 0.06 + 1.32\,\ln(X_{i})\

다음 중 결과의 해석으로 옳은 것을 고르시오. (단, \(\ln()\)은 자연로그를 의미한다.)",기업의 연구개발비가 백만원 증가하면 매출액은 132만원 증가한다.,기업의 매출액이 백만원 증가하면 연구개발비는 132만원 증가한다.,기업의 연구개발비가 백만원 증가하면 매출액은 1.32\% 증가한다.,기업의 연구개발비가 1\% 증가하면 매출액은 1.32\% 증가한다.,기업의 연구개발비가 1\% 증가하면 매출액은 132만원 증가한다.,D
34,계량경제,비선형 회귀모형,H,N,Y,"근로자의 소득과 교육의 관계를 추정하기 위해 이차 다항 회귀 모형을
이용해 다음 결과를 얻었다.

\widehat{Y_{i}} = 3.2 + 2.3X_{i} - 0.03{X_{i}}^{2}\

여기서 \(Y_{i}\)는 근로자의 시간당 임금(단위는 천원), \(X_{i}\)는
근로자의 교육연수 (단위는 년)을 의미한다. 교육연수가 13년인 근로자가
추가로 교육을 더 받아서 교육연수가 16년이 된다면 그의 시간당 임금은
얼마나 변하는가? 다음 보기 중에서 고르시오.",2.24(천원),2.30(천원),4.29(천원),5.54(천원),6.81(천원),C
